latitude,longitude
48.5538,-1.51
48.057315,-1.148312
49.846226,2.268329
43.13453,-1.142615
41.387174,9.159269
48.465906,-2.085787
42.113828000000005,8.701547999999999
48.856644,2.34233
43.569246,7.10836
43.330673,5.151576
43.296482,5.36978
41.591369,9.278311
48.856644,2.34233
42.636509999999994,8.937046
41.930607,8.742907
41.621821999999995,8.97472
42.699996999999996,9.447317
41.369785,9.213233
48.856644,2.34233
48.856644,2.34233
43.296482,5.36978
43.361106,-1.399376
41.930607,8.742907
43.359398999999996,-1.766148
42.309409,9.149022
47.285447999999995,-2.393236
41.930607,8.742907
42.309409,9.149022
45.899217,6.129487
45.184327,5.718551000000001
48.856644,2.34233
41.387174,9.159269
42.699996999999996,9.447317
42.554742,9.424047
41.846517,8.760627000000001
41.591369,9.278311
48.856644,2.34233
41.930607,8.742907
42.699996999999996,9.447317
41.930607,8.742907
43.329845,-1.406347
48.936405,2.324493
43.395936,-1.45459
43.2951,-0.370797
42.104248,9.512429
42.554742,9.424047
43.361792,-0.881647
42.492576,9.439183
48.856644,2.34233
41.930607,8.742907
43.388051000000004,-1.663055
43.359398999999996,-1.766148
41.94122,9.330645
41.94122,9.330645
42.699996999999996,9.447317
50.631368,3.065448
43.296482,5.36978
48.605191999999995,7.748562
48.809048,2.356437
48.583148,7.747882000000001
41.94122,9.330645
42.613144,9.419263
42.613144,9.419263
43.604652,1.444209
48.856644,2.34233
42.699996999999996,9.447317
42.016853999999995,9.403982000000001
42.016853999999995,9.403982000000001
42.016853999999995,9.403982000000001
42.016853999999995,9.403982000000001
42.104248,9.512429
42.554742,9.424047
42.554742,9.424047
41.999291,9.402963
41.918890999999995,8.737554
41.918890999999995,8.737554
41.918890999999995,8.737554
41.918890999999995,8.737554
41.918890999999995,8.737554
41.918890999999995,8.737554
42.016853999999995,9.403982000000001
48.856644,2.34233
48.856644,2.34233
42.699996999999996,9.447317
42.749323,9.423397999999999
41.918890999999995,8.737554
41.918890999999995,8.737554
42.699996999999996,9.447317
41.734041,9.334552
41.930607,8.742907
41.930607,8.742907
48.730752,2.271379
49.035616999999995,2.060325
41.930607,8.742907
41.846517,8.760627000000001
42.699996999999996,9.447317
42.699996999999996,9.447317
42.554742,9.424047
42.066583,8.738397
42.066583,8.738397
42.066583,8.738397
42.066583,8.738397
42.699996999999996,9.447317
42.699996999999996,9.447317
41.387174,9.159269
42.166552,8.797756
43.696036,7.265592
43.696036,7.265592
42.104248,9.512429
42.547135,9.417273
41.883333,8.783333
43.696036,7.265592
48.856644,2.34233
42.016853999999995,9.403982000000001
42.554742,9.424047
47.218371000000005,-1.553621
41.918890999999995,8.737554
41.918890999999995,8.737554
42.010303,9.325431
42.657985,9.414214999999999
42.699996999999996,9.447317
42.699996999999996,9.447317
42.397834,9.492341999999999
48.856644,2.34233
42.104248,9.512429
42.644346999999996,9.457701
42.309409,9.149022
42.699996999999996,9.447317
42.554742,9.424047
42.463596,9.207071000000001
41.591369,9.278311
41.930607,8.742907
42.309409,9.149022
42.014317999999996,8.835788
42.309409,9.149022
41.930607,8.742907
41.930607,8.742907
41.930607,8.742907
42.309409,9.149022
42.547135,9.417273
42.567651,8.757222
43.387537,-1.675432
42.547135,9.417273
42.699996999999996,9.447317
41.930607,8.742907
42.657985,9.414214999999999
42.613144,9.419263
42.699996999999996,9.447317
42.547135,9.417273
42.113828000000005,8.701547999999999
41.591369,9.278311
42.134855,8.595838
41.591369,9.278311
42.699996999999996,9.447317
42.134855,8.595838
43.492948999999996,-1.474841
41.930607,8.742907
42.577588,8.832884
42.577588,8.832884
42.699996999999996,9.447317
41.591369,9.278311
41.930607,8.742907
42.113828000000005,8.701547999999999
42.113828000000005,8.701547999999999
43.529742,5.447426999999999
42.467512,9.473267
42.435269,9.470516
42.331070000000004,9.490362
42.121235999999996,8.758887
42.121235999999996,8.758887
42.066583,8.738397
41.716815000000004,8.917616
42.016853999999995,9.403982000000001
41.772597,8.771765
41.918890999999995,8.737554
42.066583,8.738397
48.856644,2.34233
43.492948999999996,-1.474841
43.492948999999996,-1.474841
43.492948999999996,-1.474841
41.772597,8.771765
42.699996999999996,9.447317
41.918890999999995,8.737554
42.699996999999996,9.447317
42.699996999999996,9.447317
43.296482,5.36978
42.047012,8.807638
42.699996999999996,9.447317
41.930607,8.742907
42.016853999999995,9.403982000000001
41.930607,8.742907
42.657985,9.414214999999999
42.885103,-0.06253500000000001
43.315674,-0.756412
42.699996999999996,9.447317
42.699996999999996,9.447317
42.636509999999994,8.937046
43.421215999999994,-1.609933
43.814659999999996,-1.37825
42.264382,9.473672
41.930607,8.742907
41.716815000000004,8.917616
43.637859999999996,-1.4209479999999999
48.856644,2.34233
41.930607,8.742907
41.930607,8.742907
41.930607,8.742907
41.930607,8.742907
41.930607,8.742907
41.930607,8.742907
42.676389,9.43571
42.374887,9.529963
41.621821999999995,8.97472
43.604652,1.444209
41.809597,8.923433000000001
48.856644,2.34233
43.436384000000004,-1.521339
43.547424,-1.475817
43.436384000000004,-1.521339
48.856644,2.34233
43.637859999999996,-1.4209479999999999
43.481402,-1.514699
43.604652,1.444209
